"chr","startwin","endwin","Nb_SNPs_Win","Prop_Win_Total","NbSNPWinPvalueInf05","NbSNPWinPvalueInf01","NbSNPWinPvalueInf001","SNPswithoutpvalues","PropSNPWinPvalueInf05","PropSNPWinPvalueInf01","PropSNPWinPvalueInf001"
5,19000001,2e+07,115,0.00252264900081163,8,5,1,4,0.0720720720720721,0.045045045045045,0.00900900900900901
5,20000001,2.1e+07,78,0.00171101410489833,5,2,0,7,0.0704225352112676,0.028169014084507,0
5,21000001,2.2e+07,69,0.00151358940048698,1,0,0,6,0.0158730158730159,0,0
5,22000001,2.3e+07,23,0.000504529800162327,1,0,0,1,0.0454545454545455,0,0
5,23000001,2.4e+07,83,0.00182069449623796,11,5,1,3,0.1375,0.0625,0.0125
5,24000001,2.5e+07,65,0.00142584508741527,3,1,1,1,0.046875,0.015625,0.015625
5,25000001,2.6e+07,51,0.00111873999166429,1,0,0,3,0.0208333333333333,0,0
5,26000001,2.7e+07,79,0.00173295018316625,5,3,0,6,0.0684931506849315,0.0410958904109589,0
5,27000001,2.8e+07,66,0.0014477811656832,2,0,0,3,0.0317460317460317,0,0
5,28000001,2.9e+07,13,0.000285169017483054,1,1,0,0,0.0769230769230769,0.0769230769230769,0
5,29000001,3e+07,48,0.00105293175686051,7,0,0,1,0.148936170212766,0,0
5,30000001,3.1e+07,55,0.001206484304736,6,2,0,8,0.127659574468085,0.0425531914893617,0
5,31000001,3.2e+07,50,0.00109680391339636,7,2,0,9,0.170731707317073,0.0487804878048781,0
5,32000001,3.3e+07,67,0.00146971724395113,8,2,1,3,0.125,0.03125,0.015625
5,33000001,3.4e+07,35,0.000767762739377454,6,3,0,1,0.176470588235294,0.0882352941176471,0
5,34000001,3.5e+07,39,0.000855507052449163,8,1,0,9,0.266666666666667,0.0333333333333333,0
5,35000001,3.6e+07,42,0.000921315287252945,10,4,0,6,0.277777777777778,0.111111111111111,0
5,36000001,3.7e+07,55,0.001206484304736,9,5,0,9,0.195652173913043,0.108695652173913,0
5,37000001,3.8e+07,60,0.00131616469607564,8,2,0,9,0.156862745098039,0.0392156862745098,0
5,38000001,3.9e+07,59,0.00129422861780771,5,3,0,21,0.131578947368421,0.0789473684210526,0
5,39000001,4e+07,41,0.000899379208985018,2,1,0,11,0.0666666666666667,0.0333333333333333,0
5,40000001,4.1e+07,42,0.000921315287252945,6,3,1,13,0.206896551724138,0.103448275862069,0.0344827586206897
5,41000001,4.2e+07,27,0.000592274113234036,2,0,0,3,0.0833333333333333,0,0
5,42000001,4.3e+07,27,0.000592274113234036,0,0,0,5,0,0,0
5,43000001,4.4e+07,45,0.000987123522056727,6,2,0,8,0.162162162162162,0.0540540540540541,0
5,44000001,4.5e+07,76,0.00166714194836247,6,3,0,9,0.0895522388059701,0.0447761194029851,0
5,45000001,4.6e+07,61,0.00133810077434356,4,3,0,13,0.0833333333333333,0.0625,0
5,46000001,4.7e+07,62,0.00136003685261149,7,0,0,13,0.142857142857143,0,0
5,47000001,4.8e+07,53,0.00116261214820014,8,0,0,6,0.170212765957447,0,0
5,48000001,4.9e+07,32,0.000701954504573672,2,0,0,1,0.0645161290322581,0,0
5,49000001,5e+07,75,0.00164520587009454,8,2,0,9,0.121212121212121,0.0303030303030303,0
5,50000001,5.1e+07,59,0.00129422861780771,4,2,0,13,0.0869565217391304,0.0434782608695652,0
5,51000001,5.2e+07,42,0.000921315287252945,4,3,0,8,0.117647058823529,0.0882352941176471,0
5,52000001,5.3e+07,48,0.00105293175686051,5,3,0,10,0.131578947368421,0.0789473684210526,0
5,53000001,5.4e+07,39,0.000855507052449163,2,1,0,3,0.0555555555555556,0.0277777777777778,0
5,54000001,5.5e+07,54,0.00118454822646807,3,1,0,9,0.0666666666666667,0.0222222222222222,0
5,55000001,5.6e+07,69,0.00151358940048698,10,5,1,12,0.175438596491228,0.087719298245614,0.0175438596491228
5,56000001,5.7e+07,33,0.0007238905828416,5,1,0,6,0.185185185185185,0.037037037037037,0
5,57000001,5.8e+07,54,0.00118454822646807,3,1,0,6,0.0625,0.0208333333333333,0
5,58000001,5.9e+07,53,0.00116261214820014,3,1,0,4,0.0612244897959184,0.0204081632653061,0
5,59000001,6e+07,83,0.00182069449623796,8,0,0,12,0.112676056338028,0,0
5,60000001,6.1e+07,66,0.0014477811656832,9,2,0,7,0.152542372881356,0.0338983050847458,0
5,61000001,6.2e+07,74,0.00162326979182662,2,0,0,6,0.0294117647058824,0,0
5,62000001,6.3e+07,79,0.00173295018316625,5,3,1,5,0.0675675675675676,0.0405405405405405,0.0135135135135135
5,63000001,6.4e+07,58,0.00127229253953978,4,2,0,9,0.0816326530612245,0.0408163265306122,0
5,64000001,6.5e+07,60,0.00131616469607564,4,0,0,6,0.0740740740740741,0,0
5,65000001,6.6e+07,65,0.00142584508741527,3,0,0,4,0.0491803278688525,0,0
5,66000001,6.7e+07,62,0.00136003685261149,2,1,0,3,0.0338983050847458,0.0169491525423729,0
5,67000001,6.8e+07,59,0.00129422861780771,3,0,0,10,0.0612244897959184,0,0
5,68000001,6.9e+07,57,0.00125035646127185,5,2,1,7,0.1,0.04,0.02
5,69000001,7e+07,70,0.00153552547875491,4,0,0,6,0.0625,0,0
5,70000001,7.1e+07,123,0.00269813762695505,3,1,0,11,0.0267857142857143,0.00892857142857143,0
5,71000001,7.2e+07,73,0.00160133371355869,2,0,0,4,0.0289855072463768,0,0
5,72000001,7.3e+07,59,0.00129422861780771,3,0,0,5,0.0555555555555556,0,0
5,73000001,7.4e+07,74,0.00162326979182662,4,1,0,5,0.0579710144927536,0.0144927536231884,0
5,74000001,7.5e+07,85,0.00186456665277382,2,2,2,16,0.0289855072463768,0.0289855072463768,0.0289855072463768
5,75000001,7.6e+07,161,0.00353170860113629,5,2,0,19,0.0352112676056338,0.0140845070422535,0
5,76000001,7.7e+07,112,0.00245684076600785,1,1,0,13,0.0101010101010101,0.0101010101010101,0
5,77000001,7.8e+07,39,0.000855507052449163,1,0,0,5,0.0294117647058824,0,0
5,78000001,7.9e+07,22,0.0004825937218944,3,2,1,3,0.157894736842105,0.105263157894737,0.0526315789473684
5,79000001,8e+07,6,0.000131616469607564,1,0,0,0,0.166666666666667,0,0
5,80000001,8.1e+07,1,2.19360782679273e-05,0,0,0,0,0,0,0
5,81000001,8.2e+07,1,2.19360782679273e-05,0,0,0,0,0,0,0
5,82000001,8.3e+07,17,0.000372913330554763,0,0,0,1,0,0,0
5,83000001,8.4e+07,44,0.000965187443788799,3,1,1,4,0.075,0.025,0.025
5,84000001,8.5e+07,40,0.00087744313071709,0,0,0,2,0,0,0
5,85000001,8.6e+07,155,0.00340009213152873,3,0,0,6,0.0201342281879195,0,0
6,1,1e+06,92,0.00201811920064931,3,2,1,6,0.0348837209302326,0.0232558139534884,0.0116279069767442
6,1000001,2e+06,49,0.00107486783512844,3,0,0,3,0.0652173913043478,0,0
6,2000001,3e+06,59,0.00129422861780771,6,3,1,1,0.103448275862069,0.0517241379310345,0.0172413793103448
6,3000001,4e+06,65,0.00142584508741527,8,3,0,5,0.133333333333333,0.05,0
6,4000001,5e+06,30,0.000658082348037818,3,0,0,2,0.107142857142857,0,0
6,5000001,6e+06,26,0.000570338034966109,0,0,0,4,0,0,0
6,6000001,7e+06,33,0.0007238905828416,5,3,1,1,0.15625,0.09375,0.03125
6,7000001,8e+06,51,0.00111873999166429,4,0,0,4,0.0851063829787234,0,0
6,8000001,9e+06,75,0.00164520587009454,3,0,0,4,0.0422535211267606,0,0
6,9000001,1e+07,43,0.000943251365520872,1,0,0,3,0.025,0,0
6,10000001,1.1e+07,55,0.001206484304736,3,1,0,4,0.0588235294117647,0.0196078431372549,0
6,11000001,1.2e+07,43,0.000943251365520872,2,1,0,6,0.0540540540540541,0.027027027027027,0
6,12000001,1.3e+07,53,0.00116261214820014,1,1,0,3,0.02,0.02,0
6,13000001,1.4e+07,64,0.00140390900914734,6,2,0,2,0.0967741935483871,0.032258064516129,0
6,14000001,1.5e+07,104,0.00228135213986444,4,2,1,2,0.0392156862745098,0.0196078431372549,0.00980392156862745
