"chr","startwin","endwin","Nb_SNPs_Win","Prop_Win_Total","NbSNPWinPvalueInf05","NbSNPWinPvalueInf01","NbSNPWinPvalueInf001","SNPswithoutpvalues","PropSNPWinPvalueInf05","PropSNPWinPvalueInf01","PropSNPWinPvalueInf001"
7,50000001,5.1e+07,24,0.000526465878430254,2,1,0,2,0.0909090909090909,0.0454545454545455,0
7,51000001,5.2e+07,7,0.000153552547875491,0,0,0,1,0,0,0
7,52000001,5.3e+07,49,0.00107486783512844,3,1,0,5,0.0681818181818182,0.0227272727272727,0
7,53000001,5.4e+07,46,0.00100905960032465,1,0,0,5,0.024390243902439,0,0
7,54000001,5.5e+07,57,0.00125035646127185,3,1,0,7,0.06,0.02,0
7,55000001,5.6e+07,53,0.00116261214820014,5,1,1,4,0.102040816326531,0.0204081632653061,0.0204081632653061
7,56000001,5.7e+07,22,0.0004825937218944,1,0,0,4,0.0555555555555556,0,0
7,57000001,5.8e+07,86,0.00188650273104174,5,1,1,3,0.0602409638554217,0.0120481927710843,0.0120481927710843
7,58000001,5.9e+07,34,0.000745826661109527,9,4,0,2,0.28125,0.125,0
7,59000001,6e+07,93,0.00204005527891724,5,2,1,1,0.0543478260869565,0.0217391304347826,0.0108695652173913
7,60000001,6.1e+07,50,0.00109680391339636,6,1,0,2,0.125,0.0208333333333333,0
7,61000001,6.2e+07,44,0.000965187443788799,2,0,0,4,0.05,0,0
7,62000001,6.3e+07,14,0.000307105095750982,3,1,0,0,0.214285714285714,0.0714285714285714,0
7,63000001,6.4e+07,67,0.00146971724395113,8,4,1,7,0.133333333333333,0.0666666666666667,0.0166666666666667
7,64000001,6.5e+07,104,0.00228135213986444,4,0,0,1,0.0388349514563107,0,0
7,65000001,6.6e+07,61,0.00133810077434356,2,0,0,10,0.0392156862745098,0,0
7,66000001,6.7e+07,71,0.00155746155702284,8,2,0,8,0.126984126984127,0.0317460317460317,0
7,67000001,6.8e+07,10,0.000219360782679273,1,0,0,0,0.1,0,0
